label,translated_clean_data,cleaned_text
ntr,The number of wise people has increased and now I do not want to accept the written subject of the book.,number wise people increased want accept written subject book
neg,Quiet,quiet
neg,This is a negative example text.,negative example text
neg,Slow,slow
ntr,The review was nice to see the movie on the movie.,review nice see movie movie
pos,Pic,pic
ntr,The government should return to the Tigers' country,government return tigers country
neg,"Due to VAT, when the education of the children is wasted by Nasala, the VAT money will be raised and if the terrorist fights will stop, then the students will not press us on the country.",due vat education children wasted nasala vat money raised terrorist fights stop students press us country
neg,Pile,pile
pos,Thanks are really awesome,thanks really awesome
neg,If you do not sleep,sleep
neg,You are not judging the crime in front of the people and the criminals are not judged.,judging crime front people criminals judged
ntr,"The strange thing was that the police would have been militants, but it would have been destroyed by all.",strange thing police would militants would destroyed
neg,Paika is not honored to be with all the people in the printing of all the nasty people's interviews.,paika honored people printing nasty peoples interviews
ntr,Round,round
neg,Bangladesh will do this because of the Indian border and it will kill the Pakistani border like a dog on the border,bangladesh indian border kill pakistani border like dog border
pos,Wow wah oh brother wrote nice poems,wow wah oh brother wrote nice poems
neg,Bamboo Development Ohsri Leaked Development,bamboo development ohsri leaked development
neg,"If you have cow dung and naita on your head, fertilizer is available",cow dung naita head fertilizer available
pos,Hee hee ha ha,hee hee ha ha
neg,The channels of the Bengali country are like advertising competition,channels bengali country like advertising competition
pos,Coutinho 😍 and group commented by Noshan Naikka Naikka,coutinho group commented noshan naikka naikka
pos,And the Commost ta Deika Ami can't stop laughing,commost ta deika ami cant stop laughing
pos,Salah's goal would have been to play in the peasant league,salahs goal would play peasant league
pos,So much love,much love
neg,"I got your skin on the khanki bark, I used to put salt and pepper",got skin khanki bark used put salt pepper
pos,Gorgeous proceed to scotland and Afghanistan dance to Kudan,gorgeous proceed scotland afghanistan dance kudan
pos,Wish the spirit of good intellect to purify the soul,wish spirit good intellect purify soul
ntr,"If you want to make a transaction in the Foreign Currency mentioned, you must first have a passport by endorsement ""E -Currency will not be able to transact any marketplace freelancing with the MasterCard logo.",want make transaction foreign currency mentioned must first passport endorsement e currency able transact marketplace freelancing mastercard logo
neg,The protests of gas price raised first the leftists then tried to vote in the leftist party and so many leftists did not get the contribution of the leftist.,protests gas price raised first leftists tried vote leftist party many leftists get contribution leftist
neg,The houses of the conspirators of India should be sent to Bangladeshi two -day toilet packets,houses conspirators india sent bangladeshi two day toilet packets
ntr,This is a neutral example text.,neutral example text
neg,Hasan Mahmud said the university is not non -profit institution,hasan mahmud said university non profit institution
neg,The Prothom-alo and the chicken kabir have deep resemblance because the creatures are always anti -Islam,prothomalo chicken kabir deep resemblance creatures always anti islam
neg,Galle,galle
neg,Like Beznam,like beznam
neg,Yesterday also the Chhatra League threw chairs inside,yesterday also chhatra league threw chairs inside
pos,It was nice to see the video that would be a barrier to work.,nice see video would barrier work
neg,This is a negative example text.,negative example text
pos,It was nice to read the bad post,nice read bad post
pos,Congratulations to Tumi Mustafiz Tumi suit you all got all over,congratulations tumi mustafiz tumi suit got
neg,This is a negative example text.,negative example text
ntr,Use if graphics are low,use graphics low
pos,"Although he is still a very popular man to the Germans, he was the beloved Furara",although still popular man germans beloved furara
pos,Potato,potato
ntr,"If you could give the link through the image sharing site on the printscreen button on the small screenshot keyboard, it would have been advantageous to understand and the speech did not actually work.",could give link image sharing site printscreen button small screenshot keyboard would advantageous understand speech actually work
ntr,"Remember you, not just in the game of playing for a lifetime, but more than a simple simple humanitarian humanitarian.",remember game playing lifetime simple simple humanitarian humanitarian
neg,Passport registration is why the passport offender cannot be identified,passport registration passport offender identified
neg,Eddie Kata is one of the ears of the other.,eddie kata one ears
neg,Dal me kuch kala yes three rooms are three mutual yoga,dal kuch kala yes three rooms three mutual yoga
neg,The elderly celebrity polypine is willing to accept the rights of women to be abusive to the girls as the hero of the past is the hero of the past to accept the abuser of women.,elderly celebrity polypine willing accept rights women abusive girls hero past hero past accept abuser women
neg,"The video is proved by the BNP strike, the police have killed people in the BNP Jamaat leader.",video proved bnp strike police killed people bnp jamaat leader
pos,Mashrafe is not the name of the billions of people is the name of love,mashrafe name billions people name love
pos,Beautiful,beautiful
neg,Porch,porch
ntr,Goldlife,goldlife
pos,Give Grandpa to you,give grandpa
pos,Great,great
pos,O I Love You Baby First Your Dad got mad right now You're Crazy Baby's Dibba,love baby first dad got mad right youre crazy babys dibba
neg,This is a negative example text.,negative example text
neg,Nothing but atheism,nothing atheism
neg,This is a negative example text.,negative example text
pos,Congratulations to Bangladesh will continue your success in such a way that the country will continue to be proud of the country.,congratulations bangladesh continue success way country continue proud country
pos,It is the best of it,best
neg,"It is not to change in the film, but I want the debate to rape social media rape like feminine issues and this joint project of Facebook India when I went to their head office.",change film want debate rape social media rape like feminine issues joint project facebook india went head office
ntr,How much difference is Obaidul Quader Mirza Fakhrul,much difference obaidul quader mirza fakhrul
neg,"Today, Sridevi's homepage is hot all day in Bangladesh's Achoda Mediapar.",today sridevis homepage hot day bangladeshs achoda mediapar
pos,Cale,cale
neg,It is wrong to expect a better comment than tribe goats,wrong expect better comment tribe goats
neg,At the bottom,bottom
neg,This is the devil,devil
neg,Eighteen players in two months mean that BCB is now trading with the national team that is a poverty,eighteen players two months mean bcb trading national team poverty
pos,Shakib Khan Bangladesh has proved that he will be the leader,shakib khan bangladesh proved leader
pos,Jatba is just as good as I hear,jatba good hear
pos,Mother looks pretty,mother looks pretty
neg,This is a negative example text.,negative example text
pos,And there are no more time of two hundred million Muslims during the fifty -five Hanafi Shafi'i Hambli Maliki Vedave.,time two hundred million muslims fifty five hanafi shafii hambli maliki vedave
neg,"For some time a class appeared in this country whose players are playing well in the Haturu's role in the country doing well in the country, I am empty that the place of the hammer is empty which is the easy thing to do on the ground of the country.",time class appeared country whose players playing well haturus role country well country empty place hammer empty easy thing ground country
neg,Ramos,ramos
pos,"Alhamdulillah is good to hear the news, the BBCB team announced the mistake of the party.",alhamdulillah good hear news bbcb team announced mistake party
pos,Aulla Tutul brother and bite,aulla tutul brother bite
neg,The law will also refuse the myriagun,law also refuse myriagun
neg,This is a negative example text.,negative example text
pos,Like the new world,like new world
neg,This is a negative example text.,negative example text
pos,Well,well
neg,A arrested in the murder of journalist Shimul,arrested murder journalist shimul
neg,You will not find rationality because the government is not elected by the people's vote,find rationality government elected peoples vote
neg,There are so many strange thoughts in Pakistan,many strange thoughts pakistan
neg,Dung on the shoe is needed,dung shoe needed
ntr,Mia Khalifa is in the house,mia khalifa house
neg,This is a negative example text.,negative example text
pos,Fascinating video,fascinating video
neg,This is a negative example text.,negative example text
neg,"I did not understand that the country of Burmese robber is one of Myanmar's Saudi Arabia, however, that Saudi may not have good knowledge",understand country burmese robber one myanmars saudi arabia however saudi may good knowledge
ntr,You laugh as you are laughing and you need to relax the bar.,laugh laughing need relax bar
pos,Awesome,awesome
neg,Ordinary,ordinary
neg,The situation of the country's politics is now very compassionate,situation countrys politics compassionate
pos,Extraisable brother,extraisable brother
neg,This is a negative example text.,negative example text
ntr,"Brother is as far as I know, but I know that there is on",brother far know know
neg,The High Court issued a rule on Star Jalsa Star Plus and G Bangla not banning the broadcast of three channels.,high court issued rule star jalsa star plus g bangla banning broadcast three channels
neg,Ghost,ghost
neg,"In order to identify other criminals to identify your dog Kuttalig, the murderers are not even criminals in Bangladesh and no other criminals in the world know the Awami League and the illegal government's helpful Randia.",order identify criminals identify dog kuttalig murderers even criminals bangladesh criminals world know awami league illegal governments helpful randia
neg,Surah Al -Kalam will not know that the kalam is lying in the hands of the lying will not know that slow,surah al kalam know kalam lying hands lying know slow
pos,"Sukant did not eat the number like Nahid Quaker, who did not eat the Golden GPA and if I had the issue of his jolt, I would say ""Go, you do not have a jaggery jaggery.""",sukant eat number like nahid quaker eat golden gpa issue jolt would say go jaggery jaggery
pos,Gold boy,gold boy
neg,This is a negative example text.,negative example text
neg,"The intellectual weed is the only time when the monastery is hated in the weeds of the weeds, the atheist kills in Bengal and the Islamic party is not the religion of Islam, but the person to understand that the party has taken the state of Islam.",intellectual weed time monastery hated weeds weeds atheist kills bengal islamic party religion islam person understand party taken state islam
pos,Salman Khan's Noche version,salman khans noche version
pos,Like good songs look wonderful songs.,like good songs look wonderful songs
neg,Valvard's video near Sir Gomez is more likely to be leaked,valvards video near sir gomez likely leaked
neg,Christians are blind,christians blind
pos,Thanks for the opportunity to see the joyful time and beautiful pictures,thanks opportunity see joyful time beautiful pictures
neg,Shahriar Kabir is a bowl of Baal and Razakar is supplying chickens during the freedom fighter of the Pakistan Army,shahriar kabir bowl baal razakar supplying chickens freedom fighter pakistan army
pos,Best of Luck,best luck
pos,Book lovers are well with writers and writers are well with writers how to be so interested in photography.,book lovers well writers writers well writers interested photography
ntr,Eroat is the smallest packet of how many price chickens are four,eroat smallest packet many price chickens four
neg,The country of madness is over,country madness
neg,"If the force is forced into the Bangladesh border, Pakistan is watching with China",force forced bangladesh border pakistan watching china
pos,Cinema,cinema
neg,This is a negative example text.,negative example text
neg,And there is no coaching center to write in the exam department,coaching center write exam department
neg,This is a negative example text.,negative example text
neg,Carl Marx explains capitalism that the conservative practical character of the state religion is inside a blueprint for the improvement of the dominant by making people slaves.,carl marx explains capitalism conservative practical character state religion inside blueprint improvement dominant making people slaves
pos,The young women who are cheering in front of the Parliament House on a rainy night prove that the people of the country are happy in peace.,young women cheering front parliament house rainy night prove people country happy peace
neg,"Look at Masharafi, the bridegroom nakiyabha karisne jhagara jai hunten",look masharafi bridegroom nakiyabha karisne jhagara jai hunten
pos,Hu ha ha hahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,hu ha ha hahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
neg,This is a negative example text.,negative example text
neg,This is a negative example text.,negative example text
neg,"There is no movement of the BNP, if politics has never started politics, they will become human beings, they do not have to go to power tomorrow.",movement bnp politics never started politics become human beings go power tomorrow
neg,The bill is fired,bill fired
neg,"The Kumira will stop the kaumira kadachuda chudi to hear the call, and if it is not a komi, the path feels vandalized.",kumira stop kaumira kadachuda chudi hear call komi path feels vandalized
neg,This is a negative example text.,negative example text
pos,Looked well,looked well
ntr,This is a neutral example text.,neutral example text
pos,"Alhamdulillah congrats on Satkhira Basi's arrogance of Bengal Tiger the Fis many wishes and endless good wishes, good luck.",alhamdulillah congrats satkhira basis arrogance bengal tiger fis many wishes endless good wishes good luck
neg,"Hu ha ha ha, now he is coming to make the life of Maududi, to give a strong argument of Korea An Hadith as the editor of the magazine, who was the editor of the magazine, who was drowning in the core and Hadith, who did not argue in his heart.E -know",hu ha ha ha coming make life maududi give strong argument korea hadith editor magazine editor magazine drowning core hadith argue hearte know
ntr,Great headline,great headline
neg,Islam,islam
neg,This is a negative example text.,negative example text
pos,"If the health can be reduced, the race can be done well.",health reduced race done well
pos,Eat Penaldo fans,eat penaldo fans
neg,I was a doctor,doctor
pos,Good news,good news
neg,The chicken thief is now a conscious teacher whose chicken farm is not eligible,chicken thief conscious teacher whose chicken farm eligible
neg,This is a negative example text.,negative example text
neg,This is a negative example text.,negative example text
ntr,Bit Intel first created the Bit Developed AMD in honor of that architecture,bit intel first created bit developed amd honor architecture
ntr,The fortune of the fate was to judge God that is the case that is the case,fortune fate judge god case case
neg,This is a negative example text.,negative example text
pos,Good,good
neg,Do not say about the pain and watch the news on the channel without advertising it is not possible.,say pain watch news channel without advertising possible
neg,There are people who do not understand cricket and do not understand IPL IPL booklet,people understand cricket understand ipl ipl booklet
neg,"There was work to work, and these things did not bring thoughts to the head",work work things bring thoughts head
neg,These actually do not understand the meaning of doing such a nonsense acting in third class work fields.,actually understand meaning nonsense acting third class work fields
neg,Her fault is not the fault of Sheikh Hasina because she is not retiring,fault fault sheikh hasina retiring
neg,Journalist with Shahriar is talking to both hell kit,journalist shahriar talking hell kit
pos,Life,life
neg,It was quite,quite
neg,Bapu did not hear that someone had a headache,bapu hear someone headache
neg,This is a negative example text.,negative example text
neg,"Hey Chachamia is the age of Bhimarati, the language of dignity seems to be an Awami League and Khaleda Zia abuses Razakar, but the state honors are the stupid uncles.",hey chachamia age bhimarati language dignity seems awami league khaleda zia abuses razakar state honors stupid uncles
pos,Shakib Al Hasan to us enjoy watching the game with amazing players.,shakib al hasan us enjoy watching game amazing players
neg,"Talking about the finalists of the finalists, Harjit is not lost in the logic of the logic.",talking finalists finalists harjit lost logic logic
neg,"Steve wa advice should be donated to the country, but do not think to Kohli",steve wa advice donated country think kohli
ntr,Aghoris are the best black witch in the world,aghoris best black witch world
ntr,South Africa took India lightly,south africa took india lightly
neg,"If the whole edited is not the devil, the stomach does not digest rice",whole edited devil stomach digest rice
neg,Salah and striker will look at a one -way search if you are playing attacking.,salah striker look one way search playing attacking
ntr,Like you,like
neg,This is a negative example text.,negative example text
ntr,Shahriar is not agreeing with Kabir,shahriar agreeing kabir
ntr,"Intel's own more bit processor architecture was that Itonium was originally the series of server, several years ago discontino.",intels bit processor architecture itonium originally series server several years ago discontino
neg,Brother don't mind me working boy,brother dont mind working boy
pos,Was fascinated,fascinated
neg,"I will not say bad things today, but this is a good burden of the country, as well as the SIM registration, it will be easier to make the innocent criminal of the innocent initiative, undoubtedly a good time -consuming political country, in the country of false and advanced political countries and disabled digital countries.",say bad things today good burden country well sim registration easier make innocent criminal innocent initiative undoubtedly good time consuming political country country false advanced political countries disabled digital countries
neg,"All the people are commenting negatively, if you are in the position if the AC is in the position if you want to get down",people commenting negatively position ac position want get
pos,There is a lot of josh,lot josh
pos,Extraordinary,extraordinary
neg,Where and where is the rhythm,rhythm
ntr,Guys about eating,guys eating
pos,Brother is extraordinary love brother,brother extraordinary love brother
neg,"Bikash leaves Dutch Bangla for the sake of religion, the broker will not make the mistake of thinking",bikash leaves dutch bangla sake religion broker make mistake thinking
pos,Fascinated,fascinated
neg,Brother said at least the characters that have made the size smalle,brother said least characters made size smalle
neg,This is a negative example text.,negative example text
neg,Empty Movie Reviews If you give a review of many reactions in my mind,empty movie reviews give review many reactions mind
neg,The point is that Ershad's trial of Maya Sahib is trying to turn around in the eyes of Khaleda Zia without the trial of Khaleda Zia.,point ershads trial maya sahib trying turn around eyes khaleda zia without trial khaleda zia
ntr,"The people of Jantan to Queen Padmavati mean the goddess of Khilji Satan, the actors in the two roles, the actors in the real life love the love of the lover loved the love scene of love.",people jantan queen padmavati mean goddess khilji satan actors two roles actors real life love love lover loved love scene love
neg,Bangladeshis want to kill the attitude no longer hidden,bangladeshis want kill attitude longer hidden
pos,Love Mashrafeki,love mashrafeki
neg,Not to say no,say
pos,"Love brother will be better than ever, brother is endless",love brother better ever brother endless
pos,Brother is very happy,brother happy
neg,"The people of the country do not die in disappointment, as I understand as many comedy",people country die disappointment understand many comedy
neg,Vocal,vocal
neg,This is a negative example text.,negative example text
neg,"After listening to the admin snake, I did not get the fuck.",listening admin snake get fuck
neg,Capitjum has arrived in China and Russia who start eating the first man,capitjum arrived china russia start eating first man
neg,Begum Zia Bar Prime minister bar opposition and year -long BNP has gone back to the country.,begum zia bar prime minister bar opposition year long bnp gone back country
neg,Where is Liverpool and where Fakirapool 1 By the Way Zayed Khan Ta,liverpool fakirapool way zayed khan ta
neg,You jump like a baby in the goat of Ram goat,jump like baby goat ram goat
pos,Congratulations,congratulations
neg,Zovan will die on the Pakistan border and the deadly weighing on the Bangladesh border,zovan die pakistan border deadly weighing bangladesh border
neg,"Mama Mal knew that you came into the politics of making money money now, you are drunk and drunk overnight, Abol Tabol started talking about the students of Bangla Bangla, forgot the fall of the Mama Malala Langua Movement.Students do not want to say to Mal Mama, who is not a problem with the Mal Kamo.",mama mal knew came politics making money money drunk drunk overnight abol tabol started talking students bangla bangla forgot fall mama malala langua movementstudents want say mal mama problem mal kamo
neg,Gomez Vidal Dignity is not worthy of those who give Dennis a chance,gomez vidal dignity worthy give dennis chance
pos,They are proud of Bangladesh,proud bangladesh
ntr,How many brothers are now with,many brothers
neg,The thought of stopping the publication and marketing of books by the freedom fighters of the country of one year has begun,thought stopping publication marketing books freedom fighters country one year begun
neg,Person Personal Opinion Please don't argue nobody Messironaldo,person personal opinion please dont argue nobody messironaldo
ntr,Capitalism Norway Sweden Switzerland Germany Australia Canada Somalia Sudan Bangladesh is not good in Pakistan,capitalism norway sweden switzerland germany australia canada somalia sudan bangladesh good pakistan
pos,Waiting for the year around and do some days,waiting year around days
neg,"Mirza Fakhrul said, ""Bangladesh will not have independence or sovereignty will not be sovereignty and the national flag in the car of the Jamaat is nothing but a joke with the nation asked.",mirza fakhrul said bangladesh independence sovereignty sovereignty national flag car jamaat nothing joke nation asked
neg,Walk,walk
neg,Griezman Week Player will play player Ore Messi Suarez Dembele Kauti and Griezman will actually play Griezmann regularly in the eleventh DC brother and Ore position.,griezman week player play player ore messi suarez dembele kauti griezman actually play griezmann regularly eleventh dc brother ore position
neg,Girls are seeking dowry,girls seeking dowry
neg,There is no security bank in the country to identify the criminal with fingerprints of the country,security bank country identify criminal fingerprints country
pos,Funny,funny
neg,Prothom-alo Falt Such Fatal Extremist Anti -Islamic Interviews,prothomalo falt fatal extremist anti islamic interviews
neg,The only Bangabandhu Sheikh Mujib does not like to raise his finger to raise his finger and speak no one.,bangabandhu sheikh mujib like raise finger raise finger speak one
neg,In the last day of shameful past day rather than selfishness in your role,last day shameful past day rather selfishness role
neg,Bengali banana and sea bananas,bengali banana sea bananas
neg,Shawl,shawl
neg,"Going to protest in support of corruption, the more expensive will be to attack the party and the party will leave the party, the party named BNP is selfish and beneficiaries.",going protest support corruption expensive attack party party leave party party named bnp selfish beneficiaries
neg,Prothom-alo first means the Prothom-alo chicken is bigger than an atheist than the poet,prothomalo first means prothomalo chicken bigger atheist poet
pos,Help thanks Pls Friend Request Ekchept,help thanks pls friend request ekchept
pos,Hmm is extraordinary and unique profession,hmm extraordinary unique profession
neg,"If the secret is posted in the public group, it means that the Attention Seeka does not give the Attention Seeka Bail.",secret posted public group means attention seeka give attention seeka bail
neg,Ganga,ganga
pos,Love your writings,love writings
neg,Abal,abal
neg,"The first wife was going to marry a young girl of the year without divorcing Rakhi as Sanu, before the marriage at Malla Road restaurant, Rakhi and family members went to know that Rakhi did not know Rakhi, Rakhi started her attempt to escape.Rakhi's family members also beat him and got the news that the police arrived at the scene and the restaurant workers came out of the restaurant.",first wife going marry young girl year without divorcing rakhi sanu marriage malla road restaurant rakhi family members went know rakhi know rakhi rakhi started attempt escaperakhis family members also beat got news police arrived scene restaurant workers came restaurant
pos,Great,great
pos,The best answer grew in respect for Mr Yunus,best answer grew respect mr yunus
neg,Patriot's policy makes bulletproof toilet in the country of the most open toilet country ministers in the country.,patriots policy makes bulletproof toilet country open toilet country ministers country
pos,"Taskin Ahmed and Arafat Sunny were flying in the World Cup in the Taskinsani file photoboling action, and the ICC has been flying in Bangladesh cricket today.Taskin will be in the series against Afghanistan in Afghanistan after the match against Holland last March, Taskin and Sunny bowled the bowling question.In an ICC notification for two to three weeks exam results, the two bowlers of Bangladesh's elbow are now international cricket and there is no barrier to the international cricket of the two.Taskin entered the Bangladesh team as a member",taskin ahmed arafat sunny flying world cup taskinsani file photoboling action icc flying bangladesh cricket todaytaskin series afghanistan afghanistan match holland last march taskin sunny bowled bowling questionin icc notification two three weeks exam results two bowlers bangladeshs elbow international cricket barrier international cricket twotaskin entered bangladesh team member
neg,"Hathuru knew that the player's weakness was short, the batsman was poor planning to take a short ball against the batsman, and I did not see the plans that lack of full professionalism.",hathuru knew players weakness short batsman poor planning take short ball batsman see plans lack full professionalism
neg,It's not the real appearance of the bn pi it's drama,real appearance bn pi drama
pos,Did well,well
pos,Lukewarm,lukewarm
pos,Looked great,looked great
pos,Fantastic,fantastic
ntr,Apu,apu
neg,"And how much of the BNP and the corrupt Khaleda Zi will be banned by the corruption of corruption, your voice is punished by the mother of corruption.",much bnp corrupt khaleda zi banned corruption corruption voice punished mother corruption
neg,Steve Jobs No iPhone and NO Now Glass Size Large Samsung which the iPhone has only left the iPhone in the last three four years on the market for ten models,steve jobs iphone glass size large samsung iphone left iphone last three four years market ten models
neg,"The civilian attitude of the country is not a big deal, the government of the country must think of secular a little, then you support the exclusion of Rabindranath Nath under communal pressure.",civilian attitude country big deal government country must think secular little support exclusion rabindranath nath communal pressure
pos,Mind Tie is better than Bangladesh wants to play with Bangladesh with Bangladesh.,mind tie better bangladesh wants play bangladesh bangladesh
neg,Dandaiya mother,dandaiya mother
neg,Shame on Pakistan India border,shame pakistan india border
pos,It gives good information,gives good information
pos,Look at comments,look comments
neg,"Snow brother Jupi understands the coupe, the hole was coming out again and forced to enter the hole in the hole.",snow brother jupi understands coupe hole coming forced enter hole hole
neg,Pagla Garat Nae Minute Path Ar,pagla garat nae minute path ar
neg,"The loyal opposition parties were in the mind of the police, where Pushish's words were about to collapse with the police.Many of the heads are coming up in the message that the good benefits of the Taro Samar Delladla movement will come to an end.",loyal opposition parties mind police pushishs words collapse policemany heads coming message good benefits taro samar delladla movement come end
neg,If Gomez does not watch the game today,gomez watch game today
neg,Fashion Dear Women are getting attractive dresses of mind favorite dresses now in seven color bd,fashion dear women getting attractive dresses mind favorite dresses seven color bd
pos,Saying brother is not the first to say where,saying brother first say
pos,How do I know when I see the number I am emotional,know see number emotional
pos,Egg,egg
pos,"I would like to read the poem that I like to say good to you, I know very well.",would like read poem like say good know well
neg,Baal Question Leak 😡 Someday the virgin is leaked to Lanka,baal question leak someday virgin leaked lanka
neg,The phone is stolen in the area of ​​mad Muntri and the comment is stolen in the area. The phone is found in the area.,phone stolen area mad muntri comment stolen area phone found area
pos,Thanks to everyone to give a news collect,thanks everyone give news collect
neg,"Muslims are never a shoe thief, but a shoe thief is a Muslim who is not militant, but militants are the Muslims.",muslims never shoe thief shoe thief muslim militant militants muslims
